Date,Promotion,Event Name,Location 1,Location 2
Jan 23rd 2016,WWE,WWE Live - SuperShow,Estero,Florida
Jan 19th 2016,WWE,Smackdown Taping,Dayton,Ohio
Jan 19th 2016,WWE,Main Event Taping,Dayton,Ohio
Jan 18th 2016,WWE,Monday Night Raw,Columbus,Ohio
Jan 18th 2016,WWE,Superstars Taping,Columbus,Ohio
Jan 17th 2016,WWE,WWE Live,Canton,Ohio
Jan 16th 2016,WWE,WWE Live,Charleston,West Virginia
Jan 16th 2016,WWE,WWE Live India - Day 2,New Delhi,Delhi
Jan 15th 2016,WWE,WWE Live India - Day 1,New Delhi,Delhi
Jan 12th 2016,WWE,Smackdown Taping,Lafayette,Louisiana
Jan 12th 2016,WWE,Main Event Taping,Lafayette,Louisiana
Jan 11th 2016,WWE,Monday Night Raw,New Orleans,Louisiana
Jan 11th 2016,WWE,Superstars Taping,New Orleans,Louisiana
Jan 10th 2016,WWE,WWE Live,Monroe,Louisiana
Jan 10th 2016,WWE,WWE Live,Mobile,Alabama
Jan 9th 2016,WWE,WWE Live,Bossier City,Louisiana
Jan 9th 2016,WWE,WWE Live,Montgomery,Alabama
Jan 8th 2016,WWE,WWE Live,Houston,Texas
Jan 7th 2016,WWE,WWE Kids Taping,Winter Park,Florida
Jan 5th 2016,WWE,Smackdown Taping,Laredo,Texas
Jan 5th 2016,WWE,Main Event Taping,Laredo,Texas
Jan 4th 2016,WWE,Monday Night Raw,San Antonio,Texas
Jan 4th 2016,WWE,Superstars Taping,San Antonio,Texas
Jan 3rd 2016,WWE,WWE Live,Corpus Christi,Texas
Jan 3rd 2016,WWE,WWE Live,Hidalgo,Texas
Dec 30th 2015,WWE,WWE Live - Holiday Tour,Baltimore,Maryland
Dec 30th 2015,WWE,WWE Live - Holiday Tour,Toronto,Ontario
Dec 29th 2015,WWE,WWE Live - Holiday Tour,Providence,Rhode Island
Dec 29th 2015,WWE,Smackdown Taping,Washington,DC
Dec 29th 2015,WWE,Main Event Taping,Washington,DC
Dec 28th 2015,WWE,WWE Live - Holiday Tour,Allentown,Pennsylvania
Dec 28th 2015,WWE,Monday Night Raw,Brooklyn,New York
Dec 28th 2015,WWE,Superstars Taping,Brooklyn,New York
Dec 27th 2015,WWE,WWE Live - Holiday Tour,Hartford,Connecticut
Dec 27th 2015,WWE,WWE Live - Holiday Tour,Chicago,Illinois
Dec 26th 2015,WWE,WWE Live - Holiday Tour,Detroit,Michigan
Dec 26th 2015,WWE,MSG Show (Dec. '15) - Holiday Tour,New York,New York
Dec 22nd 2015,WWE,Super Smackdown Live,Des Moines,Iowa
Dec 22nd 2015,WWE,Main Event Taping,Des Moines,Iowa
Dec 21st 2015,WWE,Superstars Taping,Minneapolis,Minnesota
Dec 21st 2015,WWE,Monday Night Raw - Slammy Awards '15,Minneapolis,Minnesota
Dec 20th 2015,WWE,WWE Live - Holiday Tour,Winnipeg,Manitoba
Dec 19th 2015,WWE,WWE Live - Holiday Tour,Inglewood,California
Dec 15th 2015,WWE,Smackdown Taping,Newark,New Jersey
Dec 15th 2015,WWE,Main Event Taping,Newark,New Jersey
Dec 14th 2015,WWE,Monday Night Raw,Philadelphia,Pennsylvania
Dec 14th 2015,WWE,Superstars Taping,Philadelphia,Pennsylvania
Dec 13th 2015,WWE,"TLC: Tables, Ladders and Chairs '15",Boston,Massachusetts
Dec 12th 2015,WWE,WWE Live - Holiday Tour,Lewiston,Maine
Dec 8th 2015,WWE,Smackdown Taping,Jacksonville,Florida
Dec 8th 2015,WWE,Tribute To The Troops '15 Taping,Jacksonville,Florida
Dec 7th 2015,WWE,Monday Night Raw,North Charleston,South Carolina
Dec 7th 2015,WWE,Superstars Taping,North Charleston,South Carolina
Dec 6th 2015,WWE,WWE Live - Holiday Tour,Charlotte,North Carolina
Dec 6th 2015,WWE,WWE Live - Holiday Tour,Florence,South Carolina
Dec 5th 2015,WWE,WWE Live - Holiday Tour,Fayetteville,North Carolina
Dec 5th 2015,WWE,WWE Live - Holiday Tour,Augusta,Georgia
Dec 4th 2015,WWE,WWE Live - Holiday Tour,Johnson City,Tennessee
Dec 1st 2015,WWE,Smackdown Taping,Hershey,Pennsylvania
Dec 1st 2015,WWE,Main Event Taping,Hershey,Pennsylvania
Nov 30th 2015,WWE,Monday Night Raw,Pittsburgh,Pennsylvania
Nov 30th 2015,WWE,Superstars Taping,Pittsburgh,Pennsylvania
Nov 29th 2015,WWE,WWE Live - Holiday Tour,Huntington,West Virginia
Nov 28th 2015,WWE,WWE Live - Holiday Tour,Kansas City,Missouri
